Código Engenharia;Código Produto;Status;Centro Custo
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
000000034-0;34;Ativo;1.2.001 - Laboratorio Pastas Lisas
